audio_id,score,label_real
I_32_N,0.3401311794280477,0
E_47_G,0.773167234859923,1
I_12_N,0.2905878865226391,0
I_3_N,0.7678336180845579,0
E_7_G,0.7725103851511206,1
I_2_G,0.6649300050983784,1
E_11_N,0.30043659714386733,0
E_23_N,0.2670538008189184,0
E_16_G,0.7792133251426497,1
I_6_G,0.7616306521589025,1
I_49_N,0.27409548836498665,0
I_5_G,0.6544965503127456,1
E_35_G,0.7861272283001783,1
I_41_N,0.2725940106584722,0
E_37_N,0.3331383151349001,0
E_2_N,0.37300991312718307,0
E_40_G,0.7322209307788665,1
E_41_G,0.7768045634052948,1
I_2_N,0.7484536936987898,0
E_43_G,0.7630883754304626,1
